nameOfIssuer/__text,titleOfClass/__text,cusip/__text,value/__text,shrsOrPrnAmt/sshPrnamt/__text,shrsOrPrnAmt/sshPrnamtType/__text,investmentDiscretion/__text,votingAuthority/Sole/__text,votingAuthority/Shared/__text,votingAuthority/None/__text
AFLAC INC,COM,001055102,673146,9644,SH,SOLE,0,0,9644
AGEAGLE AERIAL SYS INC NEW,COM,00848K101,5,21,SH,SOLE,0,0,21
AGILENT TECHNOLOGIES INC,COM,00846U101,112194,933,SH,SOLE,0,0,933
AGNC INVT CORP,COM,00123Q104,2026,200,SH,SOLE,0,0,200
AGNICO EAGLE MINES LTD,COM,008474108,500,10,SH,SOLE,0,0,10
AIR LEASE CORP,CL A,00912X302,9417,225,SH,SOLE,0,0,225
AIR PRODS & CHEMS INC,COM,009158106,2281521,7617,SH,SOLE,0,0,7617
AIRBNB INC,COM CL A,009066101,35757,279,SH,SOLE,0,0,279
ALASKA AIR GROUP INC,COM,011659109,319080,6000,SH,SOLE,0,0,6000
ALBEMARLE CORP,COM,012653101,26325,118,SH,SOLE,0,0,118
ALCON AG,ORD SHS,H01301128,242225,2950,SH,SOLE,0,0,2950
ALEXANDRIA REAL ESTATE EQ IN,COM,015271109,3178,28,SH,SOLE,0,0,28
ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,35924,431,SH,SOLE,0,0,431
ALLEGRO MICROSYSTEMS INC,COM,01749D105,2257,50,SH,SOLE,0,0,50
ALLIANCEBERNSTEIN HLDG L P,UNIT LTD PARTN,01881G106,18878,587,SH,SOLE,0,0,587
ALLIANT ENERGY CORP,COM,018802108,27448,523,SH,SOLE,0,0,523
ALLSTATE CORP,COM,020002101,779964,7153,SH,SOLE,0,0,7153
ALLY FINL INC,COM,02005N100,1425,53,SH,SOLE,0,0,53
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,288329,1518,SH,SOLE,0,0,1518
ALPHABET INC,CAP STK CL A,02079K305,15988210,133569,SH,SOLE,0,0,133569
ALPHABET INC,CAP STK CL C,02079K107,11033326,91207,SH,SOLE,0,0,91207
ALPS ETF TR,ALERIAN MLP,00162Q452,11,0,SH,SOLE,0,0,0
ALTISOURCE ASSET MGMT CORP,COM,02153X108,105975,1886,SH,SOLE,0,0,1886
ALTISOURCE PORTFOLIO SOLNS S,REG SHS,L0175J104,184487,32366,SH,SOLE,0,0,32366
ALTRIA GROUP INC,COM,02209S103,2407593,53148,SH,SOLE,0,0,53148
AMAZON COM INC,COM,023135106,12831205,98429,SH,SOLE,0,0,98429
AMC ENTMT HLDGS INC,CL A COM,00165C104,462,105,SH,SOLE,0,0,105
AMCOR PLC,ORD,G0250X107,1612240,161547,SH,SOLE,0,0,161547
AMER SOFTWARE INC,CL A,029683109,26801,2550,SH,SOLE,0,0,2550
AMEREN CORP,COM,023608102,435628,5334,SH,SOLE,0,0,5334
AMERICAN AIRLS GROUP INC,COM,02376R102,897,50,SH,SOLE,0,0,50
AMERICAN CENTY ETF TR,US SML CP VALU,025072877,158325,2040,SH,SOLE,0,0,2040
AMERICAN ELEC PWR CO INC,COM,025537101,661311,7854,SH,SOLE,0,0,7854
AMERICAN EXPRESS CO,COM,025816109,5400733,31003,SH,SOLE,0,0,31003
AMERICAN INTL GROUP INC,COM NEW,026874784,85160,1480,SH,SOLE,0,0,1480
AMERICAN TOWER CORP NEW,COM,03027X100,1968861,10152,SH,SOLE,0,0,10152
AMERICAN WTR WKS CO INC NEW,COM,030420103,695050,4869,SH,SOLE,0,0,4869
AMERIPRISE FINL INC,COM,03076C106,459046,1382,SH,SOLE,0,0,1382
AMERISOURCEBERGEN CORP,COM,03073E105,16742,87,SH,SOLE,0,0,87
AMETEK INC,COM,031100100,472218,2917,SH,SOLE,0,0,2917
AMGEN INC,COM,031162100,3778047,17017,SH,SOLE,0,0,17017
AMKOR TECHNOLOGY INC,COM,031652100,447,15,SH,SOLE,0,0,15
AMMO INC,COM,00175J107,852,400,SH,SOLE,0,0,400
AMPHASTAR PHARMACEUTICALS IN,COM,03209R103,1552,27,SH,SOLE,0,0,27
AMPHENOL CORP NEW,CL A,032095101,702792,8273,SH,SOLE,0,0,8273
AMPLIFY ETF TR,BLOCKCHAIN LDR,032108607,16704,734,SH,SOLE,0,0,734
AMPLIFY ETF TR,CWP ENHANCED DIV,032108409,16637,462,SH,SOLE,0,0,462
AMPLITUDE INC,COM CL A,03213A104,4862,442,SH,SOLE,0,0,442
ANALOG DEVICES INC,COM,032654105,2028622,10413,SH,SOLE,0,0,10413
ANAVEX LIFE SCIENCES CORP,COM NEW,032797300,3911,481,SH,SOLE,0,0,481
ANHEUSER BUSCH INBEV SA/NV,SPONSORED ADR,03524A108,27169,479,SH,SOLE,0,0,479
ANNALY CAPITAL MANAGEMENT IN,COM NEW,035710839,2502,125,SH,SOLE,0,0,125
ANSYS INC,COM,03662Q105,69357,210,SH,SOLE,0,0,210
AON PLC,SHS CL A,G0403H108,1476187,4276,SH,SOLE,0,0,4276
APARTMENT INVT & MGMT CO,CL A,03748R747,1709,201,SH,SOLE,0,0,201
APELLIS PHARMACEUTICALS INC,COM,03753U106,46279,508,SH,SOLE,0,0,508
APOLLO GLOBAL MGMT INC,COM,03769M106,36639,477,SH,SOLE,0,0,477
APPHARVEST INC,COM,03783T103,1208,3264,SH,SOLE,0,0,3264
APPLE INC,COM,037833100,85698319,441812,SH,SOLE,0,0,441812
APPLIED MATLS INC,COM,038222105,4135314,28610,SH,SOLE,0,0,28610
APTARGROUP INC,COM,038336103,39953,345,SH,SOLE,0,0,345
APTIV PLC,SHS,G6095L109,25421,249,SH,SOLE,0,0,249
ARCH CAP GROUP LTD,ORD,G0450A105,738321,9864,SH,SOLE,0,0,9864
ARCHER AVIATION INC,COM CL A,03945R102,2060,500,SH,SOLE,0,0,500
ARCHER DANIELS MIDLAND CO,COM,039483102,1293371,17117,SH,SOLE,0,0,17117
ARCOSA INC,COM,039653100,3107,41,SH,SOLE,0,0,41
ARCTURUS THERAPEUTICS HLDGS,COM,03969T109,574,20,SH,SOLE,0,0,20
ARES CAPITAL CORP,COM,04010L103,8131520,432758,SH,SOLE,0,0,432758
ARES COML REAL ESTATE CORP,COM,04013V108,196748,19384,SH,SOLE,0,0,19384
ARISTA NETWORKS INC,COM,040413106,1133448,6994,SH,SOLE,0,0,6994
ARK ETF TR,GENOMIC REV ETF,00214Q302,20216,593,SH,SOLE,0,0,593
ARK ETF TR,INNOVATION ETF,00214Q104,71419,1618,SH,SOLE,0,0,1618
ASCENDIS PHARMA A/S,SPONSORED ADR,04351P101,103620,1161,SH,SOLE,0,0,1161
ASCENT INDUSTRIES CO,COM,871565107,2273,250,SH,SOLE,0,0,250
ASCENT SOLAR TECHNOLOGIES IN,COM NEW,043635606,1,4,SH,SOLE,0,0,4
ASE TECHNOLOGY HLDG CO LTD,SPONSORED ADS,00215W100,8344,1071,SH,SOLE,0,0,1071
ASGN INC,COM,00191U102,26471,350,SH,SOLE,0,0,350
ASHLAND INC,COM,044186104,3911,45,SH,SOLE,0,0,45
ASML HOLDING N V,N Y REGISTRY SHS,N07059210,139312,192,SH,SOLE,0,0,192
ASTRAZENECA PLC,SPONSORED ADR,046353108,74934,1047,SH,SOLE,0,0,1047
AT&T INC,COM,00206R102,936594,58721,SH,SOLE,0,0,58721
ATHERSYS INC NEW,COM NEW,04744L205,348,400,SH,SOLE,0,0,400
ATI INC,COM,01741R102,7475,169,SH,SOLE,0,0,169
ATLANTICA SUSTAINABLE INFR P,SHS,G0751N103,1382,59,SH,SOLE,0,0,59
ATLASSIAN CORPORATION,CL A,049468101,2685,16,SH,SOLE,0,0,16
ATOSSA THERAPEUTICS INC,COM,04962H506,89,70,SH,SOLE,0,0,70
AUTODESK INC,COM,052769106,794706,3884,SH,SOLE,0,0,3884
AUTOLIV INC,COM,052800109,70414,828,SH,SOLE,0,0,828
AUTOMATIC DATA PROCESSING IN,COM,053015103,6751839,30719,SH,SOLE,0,0,30719
AUTOZONE INC,COM,053332102,119682,48,SH,SOLE,0,0,48
AVALONBAY CMNTYS INC,COM,053484101,16278,86,SH,SOLE,0,0,86
AVANGRID INC,COM,05351W103,74532,1978,SH,SOLE,0,0,1978
AVANTAX INC,COM,095229100,224,10,SH,SOLE,0,0,10
AVANTOR INC,COM,05352A100,57985,2823,SH,SOLE,0,0,2823
AVERY DENNISON CORP,COM,053611109,102221,595,SH,SOLE,0,0,595
AVIENT CORPORATION,COM,05368V106,75870,1855,SH,SOLE,0,0,1855
AXON ENTERPRISE INC,COM,05464C101,63610,326,SH,SOLE,0,0,326
AXOS FINANCIAL INC,COM,05465C100,227412,5766,SH,SOLE,0,0,5766
AXSOME THERAPEUTICS INC,COM,05464T104,97011,1350,SH,SOLE,0,0,1350
AXT INC,COM,00246W103,17200,5000,SH,SOLE,0,0,5000
AZENTA INC,COM,114340102,376708,8070,SH,SOLE,0,0,8070
B. RILEY FINANCIAL INC,COM,05580M108,460,10,SH,SOLE,0,0,10
BAIDU INC,SPON ADR REP A,056752108,25329,185,SH,SOLE,0,0,185
BAKER HUGHES COMPANY,CL A,05722G100,34846,1102,SH,SOLE,0,0,1102
BANK AMERICA CORP,COM,060505104,1664454,58015,SH,SOLE,0,0,58015
BANK NEW YORK MELLON CORP,COM,064058100,179594,4034,SH,SOLE,0,0,4034
BANK NOVA SCOTIA HALIFAX,COM,064149107,37530,750,SH,SOLE,0,0,750
BANK OF NT BUTTERFIELD&SON L,SHS NEW,G0772R208,1312,48,SH,SOLE,0,0,48
BARRICK GOLD CORP,COM,067901108,13934,823,SH,SOLE,0,0,823
BATH & BODY WORKS INC,COM,070830104,1740,46,SH,SOLE,0,0,46
BAUSCH HEALTH COS INC,COM,071734107,8000,1000,SH,SOLE,0,0,1000
BAXTER INTL INC,COM,071813109,183744,4033,SH,SOLE,0,0,4033
BCE INC,COM NEW,05534B760,60863,1335,SH,SOLE,0,0,1335
BEAM THERAPEUTICS INC,COM,07373V105,479,15,SH,SOLE,0,0,15
BECTON DICKINSON & CO,COM,075887109,3209373,12156,SH,SOLE,0,0,12156
BEIGENE LTD,SPONSORED ADR,07725L102,53490,300,SH,SOLE,0,0,300
BENTLEY SYS INC,COM CL B,08265T208,3037,56,SH,SOLE,0,0,56
BERKLEY W R CORP,COM,084423102,8339,140,SH,SOLE,0,0,140
BERKSHIRE HATHAWAY INC DEL,CL A,084670108,1035620,2,SH,SOLE,0,0,2
BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,17824139,52270,SH,SOLE,0,0,52270
BEST BUY INC,COM,086516101,19587,239,SH,SOLE,0,0,239
BHP GROUP LTD,SPONSORED ADS,088606108,15157,254,SH,SOLE,0,0,254
BIO RAD LABS INC,CL A,090572207,70896,187,SH,SOLE,0,0,187
BIOGEN INC,COM,09062X103,412463,1448,SH,SOLE,0,0,1448
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,336319,3880,SH,SOLE,0,0,3880
BIONTECH SE,SPONSORED ADS,09075V102,19968,185,SH,SOLE,0,0,185
BLACK STONE MINERALS L P,COM UNIT,09225M101,53144,3332,SH,SOLE,0,0,3332
BLACKROCK INC,COM,09247X101,1624286,2350,SH,SOLE,0,0,2350
BLACKROCK SCIENCE & TECHNOLO,SHS BEN INT,09260K101,23942,1322,SH,SOLE,0,0,1322
BLACKSTONE INC,COM,09260D107,3967147,42671,SH,SOLE,0,0,42671
BLACKSTONE SECD LENDING FD,COMMON STOCK,09261X102,88198,3224,SH,SOLE,0,0,3224
BLINK CHARGING CO,COM,09354A100,1797,300,SH,SOLE,0,0,300
BLOCK INC,CL A,852234103,153711,2309,SH,SOLE,0,0,2309
BLOOM ENERGY CORP,COM CL A,093712107,407328,24913,SH,SOLE,0,0,24913
BLUEROCK HOMES TRUST INC,COM CL A,09631H100,1033,64,SH,SOLE,0,0,64
BOEING CO,COM,097023105,279576,1324,SH,SOLE,0,0,1324
BOOKING HOLDINGS INC,COM,09857L108,1220550,452,SH,SOLE,0,0,452
BOOZ ALLEN HAMILTON HLDG COR,CL A,099502106,313169,2806,SH,SOLE,0,0,2806
BOSTON BEER INC,CL A,100557107,1851,6,SH,SOLE,0,0,6
BOSTON OMAHA CORP,CL A COM STK,101044105,2635,140,SH,SOLE,0,0,140
BOSTON SCIENTIFIC CORP,COM,101137107,46193,854,SH,SOLE,0,0,854
BOWLERO CORP,CL A COM,10258P102,174600,15000,SH,SOLE,0,0,15000
BOX INC,CL A,10316T104,1763,60,SH,SOLE,0,0,60
BP PLC,SPONSORED ADR,055622104,141960,4023,SH,SOLE,0,0,4023
BRIGHT HORIZONS FAM SOL IN D,COM,109194100,60093,650,SH,SOLE,0,0,650
BRISTOL-MYERS SQUIBB CO,COM,110122108,4803936,75120,SH,SOLE,0,0,75120
BRITISH AMERN TOB PLC,SPONSORED ADR,110448107,21713,654,SH,SOLE,0,0,654
BROADCOM INC,COM,11135F101,3309246,3815,SH,SOLE,0,0,3815
BROADRIDGE FINL SOLUTIONS IN,COM,11133T103,9441,57,SH,SOLE,0,0,57
BROADSTONE NET LEASE INC,COM,11135E203,425249,27542,SH,SOLE,0,0,27542
BROOKFIELD ASSET MANAGMT LTD,CL A LMT VTG SHS,113004105,37851,1160,SH,SOLE,0,0,1160
BROOKFIELD CORP,CL A LTD VT SH,11271J107,155834,4631,SH,SOLE,0,0,4631
BROOKFIELD INFRAST PARTNERS,LP INT UNIT,G16252101,2022210,55403,SH,SOLE,0,0,55403
BROOKFIELD INFRASTRUCTURE CO,COM SB VTG SHS A,11275Q107,3928388,86187,SH,SOLE,0,0,86187
BROOKFIELD REINS LTD,CL A EXCH LT VTG,G16250105,712,21,SH,SOLE,0,0,21
BROOKFIELD RENEWABLE CORP,CL A SUB VTG,11284V105,59100,1875,SH,SOLE,0,0,1875
BROOKFIELD RENEWABLE PARTNER,PARTNERSHIP UNIT,G16258108,336671,11416,SH,SOLE,0,0,11416
BRP INC,COM SUN VTG,05577W200,62266,736,SH,SOLE,0,0,736
BRUNSWICK CORP,COM,117043109,203085,2344,SH,SOLE,0,0,2344
BUILDERS FIRSTSOURCE INC,COM,12008R107,164424,1209,SH,SOLE,0,0,1209
BUMBLE INC,COM CL A,12047B105,1376,82,SH,SOLE,0,0,82
BUNGE LIMITED,COM,G16962105,2076,22,SH,SOLE,0,0,22
BUTTERFLY NETWORK INC,COM CL A,124155102,24358,10590,SH,SOLE,0,0,10590
BWX TECHNOLOGIES INC,COM,05605H100,23619,330,SH,SOLE,0,0,330
C3 AI INC,CL A,12468P104,1822,50,SH,SOLE,0,0,50
CABLE ONE INC,COM,12685J105,48624,74,SH,SOLE,0,0,74
CADENCE DESIGN SYSTEM INC,COM,127387108,3284,14,SH,SOLE,0,0,14
CAESARS ENTERTAINMENT INC NE,COM,12769G100,1530,30,SH,SOLE,0,0,30
CALIFORNIA RES CORP,COM STOCK,13057Q305,24140,533,SH,SOLE,0,0,533
CAMBIUM NETWORKS CORP,SHS,G17766109,214,14,SH,SOLE,0,0,14
CAMECO CORP,COM,13321L108,110909,3540,SH,SOLE,0,0,3540
CAMPBELL SOUP CO,COM,134429109,13256,290,SH,SOLE,0,0,290
CANADIAN IMPERIAL BK COMM TO,COM,136069101,97055,2274,SH,SOLE,0,0,2274
CANADIAN NATL RY CO,COM,136375102,36321,300,SH,SOLE,0,0,300
CANADIAN PACIFIC KANSAS CITY,COM,13646K108,210810,2610,SH,SOLE,0,0,2610
CANOPY GROWTH CORP,COM,138035100,17,43,SH,SOLE,0,0,43
CANTALOUPE INC,COM,138103106,31840,4000,SH,SOLE,0,0,4000
CAPITAL ONE FINL CORP,COM,14040H105,229677,2100,SH,SOLE,0,0,2100
CARA THERAPEUTICS INC,COM,140755109,566,200,SH,SOLE,0,0,200
CARDINAL HEALTH INC,COM,14149Y108,113390,1199,SH,SOLE,0,0,1199
CARMAX INC,COM,143130102,519945,6212,SH,SOLE,0,0,6212
CARNIVAL PLC,ADR,14365C103,2119,125,SH,SOLE,0,0,125
CARRIER GLOBAL CORPORATION,COM,14448C104,977583,19666,SH,SOLE,0,0,19666
CASEYS GEN STORES INC,COM,147528103,4878,20,SH,SOLE,0,0,20
CATERPILLAR INC,COM,149123101,1065067,4329,SH,SOLE,0,0,4329
CBOE GLOBAL MKTS INC,COM,12503M108,924494,6699,SH,SOLE,0,0,6699
CBRE GROUP INC,CL A,12504L109,243503,3017,SH,SOLE,0,0,3017
CDW CORP,COM,12514G108,19818,108,SH,SOLE,0,0,108
CEDAR FAIR L P,DEPOSITRY UNIT,150185106,129771,3247,SH,SOLE,0,0,3247
CELANESE CORP DEL,COM,150870103,27792,240,SH,SOLE,0,0,240
CENTENE CORP DEL,COM,15135B101,33995,504,SH,SOLE,0,0,504
CERENCE INC,COM,156727109,1024,35,SH,SOLE,0,0,35
CEVA INC,COM,157210105,384,15,SH,SOLE,0,0,15
CF INDS HLDGS INC,COM,125269100,6595,95,SH,SOLE,0,0,95
CHARGEPOINT HOLDINGS INC,COM CL A,15961R105,50191,5710,SH,SOLE,0,0,5710
CHARLES RIV LABS INTL INC,COM,159864107,2103,10,SH,SOLE,0,0,10
CHART INDS INC,COM,16115Q308,1119,7,SH,SOLE,0,0,7
CHARTER COMMUNICATIONS INC N,CL A,16119P108,594405,1618,SH,SOLE,0,0,1618
CHECK POINT SOFTWARE TECH LT,ORD,M22465104,75372,600,SH,SOLE,0,0,600
CHEMED CORP NEW,COM,16359R103,1626,3,SH,SOLE,0,0,3
CHEMOURS CO,COM,163851108,4944,134,SH,SOLE,0,0,134
CHENIERE ENERGY INC,COM NEW,16411R208,69332,455,SH,SOLE,0,0,455
CHEVRON CORP NEW,COM,166764100,5605383,35624,SH,SOLE,0,0,35624
CHEWY INC,CL A,16679L109,29011,735,SH,SOLE,0,0,735
CHIPOTLE MEXICAN GRILL INC,COM,169656105,1643180,768,SH,SOLE,0,0,768
CHUBB LIMITED,COM,H1467J104,1793094,9312,SH,SOLE,0,0,9312
CHURCH & DWIGHT CO INC,COM,171340102,199202,1987,SH,SOLE,0,0,1987
CINCINNATI FINL CORP,COM,172062101,725231,7452,SH,SOLE,0,0,7452
CINTAS CORP,COM,172908105,77048,155,SH,SOLE,0,0,155
CISCO SYS INC,COM,17275R102,7299183,141074,SH,SOLE,0,0,141074
CITIGROUP INC,COM NEW,172967424,430154,9343,SH,SOLE,0,0,9343
CITIZENS FINL GROUP INC,COM,174610105,77380,2967,SH,SOLE,0,0,2967
CLEAN ENERGY FUELS CORP,COM,184499101,2133,430,SH,SOLE,0,0,430
CLEVELAND-CLIFFS INC NEW,COM,185899101,1691504,100925,SH,SOLE,0,0,100925
CLOROX CO DEL,COM,189054109,154511,972,SH,SOLE,0,0,972
CLOUDFLARE INC,CL A COM,18915M107,18631,285,SH,SOLE,0,0,285
CME GROUP INC,COM,12572Q105,2047334,11049,SH,SOLE,0,0,11049
CMS ENERGY CORP,COM,125896100,136124,2317,SH,SOLE,0,0,2317
COCA COLA CO,COM,191216100,6460743,107286,SH,SOLE,0,0,107286
COCA COLA CONS INC,COM,191098102,297022,467,SH,SOLE,0,0,467
COGNEX CORP,COM,192422103,1177,21,SH,SOLE,0,0,21
COGNIZANT TECHNOLOGY SOLUTIO,CL A,192446102,327902,5023,SH,SOLE,0,0,5023
COINBASE GLOBAL INC,COM CL A,19260Q107,103748,1450,SH,SOLE,0,0,1450
COLGATE PALMOLIVE CO,COM,194162103,2177316,28262,SH,SOLE,0,0,28262
COMCAST CORP NEW,CL A,20030N101,2161248,52016,SH,SOLE,0,0,52016
COMERICA INC,COM,200340107,241325,5697,SH,SOLE,0,0,5697
COMMERCIAL VEH GROUP INC,COM,202608105,55500,5000,SH,SOLE,0,0,5000
CONAGRA BRANDS INC,COM,205887102,11904,353,SH,SOLE,0,0,353
CONCENTRIX CORP,COM,20602D101,2423,30,SH,SOLE,0,0,30
CONDUENT INC,COM,206787103,531,156,SH,SOLE,0,0,156
CONOCOPHILLIPS,COM,20825C104,421382,4067,SH,SOLE,0,0,4067
CONSENSUS CLOUD SOLUTIONS IN,COM,20848V105,11346,366,SH,SOLE,0,0,366
CONSOLIDATED EDISON INC,COM,209115104,125566,1389,SH,SOLE,0,0,1389
CONSTELLATION BRANDS INC,CL A,21036P108,1569439,6376,SH,SOLE,0,0,6376
CONSTELLATION ENERGY CORP,COM,21037T109,122952,1343,SH,SOLE,0,0,1343
COOPER COS INC,COM NEW,216648402,39113,102,SH,SOLE,0,0,102
COPART INC,COM,217204106,87562,960,SH,SOLE,0,0,960
CORE MOLDING TECHNOLOGIES IN,COM,218683100,362931,15953,SH,SOLE,0,0,15953
CORNING INC,COM,219350105,305162,8709,SH,SOLE,0,0,8709
CORTEVA INC,COM,22052L104,366277,6392,SH,SOLE,0,0,6392
COSTAR GROUP INC,COM,22160N109,7120,80,SH,SOLE,0,0,80
COSTCO WHSL CORP NEW,COM,22160K105,10890698,20229,SH,SOLE,0,0,20229
COTERRA ENERGY INC,COM,127097103,10424,412,SH,SOLE,0,0,412
COUPANG INC,CL A,22266T109,33339,1916,SH,SOLE,0,0,1916
CRACKER BARREL OLD CTRY STOR,COM,22410J106,33527,360,SH,SOLE,0,0,360
CRH PLC,ADR,12626K203,78022,1400,SH,SOLE,0,0,1400
CRISPR THERAPEUTICS AG,NAMEN AKT,H17182108,899,16,SH,SOLE,0,0,16
CROCS INC,COM,227046109,338,3,SH,SOLE,0,0,3
CRONOS GROUP INC,COM,22717L101,591,300,SH,SOLE,0,0,300
CROWDSTRIKE HLDGS INC,CL A,22788C105,112209,764,SH,SOLE,0,0,764
CROWN CASTLE INC,COM,22822V101,410412,3602,SH,SOLE,0,0,3602
CSX CORP,COM,126408103,2012338,59013,SH,SOLE,0,0,59013
CUMMINS INC,COM,231021106,1518031,6192,SH,SOLE,0,0,6192
CURIOSITYSTREAM INC,COM CL A,23130Q107,280,300,SH,SOLE,0,0,300
CURTISS WRIGHT CORP,COM,231561101,55098,300,SH,SOLE,0,0,300
CVS HEALTH CORP,COM,126650100,1339976,19383,SH,SOLE,0,0,19383
D R HORTON INC,COM,23331A109,80766,664,SH,SOLE,0,0,664
DANAHER CORPORATION,COM,235851102,4480080,18667,SH,SOLE,0,0,18667
DANIMER SCIENTIFIC INC,COM CL A,236272100,753,316,SH,SOLE,0,0,316
DARDEN RESTAURANTS INC,COM,237194105,2340,14,SH,SOLE,0,0,14
DATADOG INC,CL A COM,23804L103,4821,49,SH,SOLE,0,0,49
DAVITA INC,COM,23918K108,150705,1500,SH,SOLE,0,0,1500
DBX ETF TR,XTRACK INTL REAL,233051846,3501,174,SH,SOLE,0,0,174
DBX ETF TR,XTRACK USD HIGH,233051432,138,4,SH,SOLE,0,0,4
DBX ETF TR,XTRACKERS MSCI,233051218,44972,1581,SH,SOLE,0,0,1581
DBX ETF TR,XTRCK JP MRG ESG,233051747,42800,2362,SH,SOLE,0,0,2362
DECKERS OUTDOOR CORP,COM,243537107,120307,228,SH,SOLE,0,0,228
DEERE & CO,COM,244199105,2321508,5729,SH,SOLE,0,0,5729
DELL TECHNOLOGIES INC,CL C,24703L202,23473,434,SH,SOLE,0,0,434
DELTA AIR LINES INC DEL,COM NEW,247361702,107203,2255,SH,SOLE,0,0,2255
DENTSPLY SIRONA INC,COM,24906P109,22372,559,SH,SOLE,0,0,559
DERMTECH INC,COM,24984K105,1040,400,SH,SOLE,0,0,400
DESCARTES SYS GROUP INC,COM,249906108,1202,15,SH,SOLE,0,0,15
DESIGN THERAPEUTICS INC,COM,25056L103,3843,610,SH,SOLE,0,0,610
DEVON ENERGY CORP NEW,COM,25179M103,31712,656,SH,SOLE,0,0,656
DEXCOM INC,COM,252131107,233503,1817,SH,SOLE,0,0,1817
DIAGEO PLC,SPON ADR NEW,25243Q205,290481,1674,SH,SOLE,0,0,1674
DIAMONDBACK ENERGY INC,COM,25278X109,113233,862,SH,SOLE,0,0,862
DICKS SPORTING GOODS INC,COM,253393102,133,1,SH,SOLE,0,0,1
DIGITAL RLTY TR INC,COM,253868103,361310,3173,SH,SOLE,0,0,3173
DIGITAL WORLD ACQUISITION CO,CLASS A COM,25400Q105,942,75,SH,SOLE,0,0,75
DIGITALBRIDGE GROUP INC,CL A NEW,25401T603,1696,115,SH,SOLE,0,0,115
DIGITALOCEAN HLDGS INC,COM,25402D102,55554,1384,SH,SOLE,0,0,1384
DIMENSIONAL ETF TRUST,EMGR CRE EQT MNG,25434V302,107541,4584,SH,SOLE,0,0,4584
DIMENSIONAL ETF TRUST,INTL CORE EQT MK,25434V203,299537,10964,SH,SOLE,0,0,10964
DIMENSIONAL ETF TRUST,US CORE EQUITY 2,25434V708,213318,7857,SH,SOLE,0,0,7857
DIMENSIONAL ETF TRUST,US MKTWIDE VALUE,25434V724,753308,21835,SH,SOLE,0,0,21835
DIMENSIONAL ETF TRUST,US SMALL CAP ETF,25434V500,162099,2958,SH,SOLE,0,0,2958
DIMENSIONAL ETF TRUST,US TARGETED VLU,25434V609,115929,2499,SH,SOLE,0,0,2499
DIMENSIONAL ETF TRUST,WORLD EX US CORE,25434V880,324079,13903,SH,SOLE,0,0,13903
DISCOVER FINL SVCS,COM,254709108,32017,274,SH,SOLE,0,0,274
DISH NETWORK CORPORATION,CL A,25470M109,330,50,SH,SOLE,0,0,50
DISNEY WALT CO,COM,254687106,5190415,58136,SH,SOLE,0,0,58136
