nameOfIssuer/__text,titleOfClass/__text,cusip/__text,value/__text,shrsOrPrnAmt/sshPrnamt/__text,shrsOrPrnAmt/sshPrnamtType/__text,investmentDiscretion/__text,votingAuthority/Sole/__text,votingAuthority/Shared/__text,votingAuthority/None/__text
PG&E CORP,COM,69331C108,2040,118,SH,SOLE,0,0,118
PGT INNOVATIONS INC,COM,69336V101,58300,2000,SH,SOLE,0,0,2000
PHENOMEX INC,COM,084310101,40,80,SH,SOLE,0,0,80
PHILIP MORRIS INTL INC,COM,718172109,2544275,26063,SH,SOLE,0,0,26063
PHILLIPS 66,COM,718546104,617300,6472,SH,SOLE,0,0,6472
PHILLIPS EDISON & CO INC,COMMON STOCK,71844V201,30025,881,SH,SOLE,0,0,881
PIMCO ETF TR,ACTIVE BD ETF,72201R775,67158,733,SH,SOLE,0,0,733
PINTEREST INC,CL A,72352L106,13807,505,SH,SOLE,0,0,505
PIONEER NAT RES CO,COM,723787107,268454,1296,SH,SOLE,0,0,1296
PLANET LABS PBC,COM CL A,72703X106,35958,11167,SH,SOLE,0,0,11167
PLIANT THERAPEUTICS INC,COM,729139105,725,40,SH,SOLE,0,0,40
PLUG POWER INC,COM NEW,72919P202,35641,3430,SH,SOLE,0,0,3430
PNC FINL SVCS GROUP INC,COM,693475105,476078,3780,SH,SOLE,0,0,3780
POOL CORP,COM,73278L105,103026,275,SH,SOLE,0,0,275
POPULAR INC,COM NEW,733174700,9865,163,SH,SOLE,0,0,163
PPG INDS INC,COM,693506107,2411235,16259,SH,SOLE,0,0,16259
PPL CORP,COM,69351T106,5769,218,SH,SOLE,0,0,218
PREFORMED LINE PRODS CO,COM,740444104,907722,5815,SH,SOLE,0,0,5815
PREMIER FINANCIAL CORP,COM,74052F108,44680,2789,SH,SOLE,0,0,2789
PRICE T ROWE GROUP INC,COM,74144T108,184721,1649,SH,SOLE,0,0,1649
PRICESMART INC,COM,741511109,135604,1831,SH,SOLE,0,0,1831
PRIMORIS SVCS CORP,COM,74164F103,3115,102,SH,SOLE,0,0,102
PRINCIPAL FINANCIAL GROUP IN,COM,74251V102,54529,719,SH,SOLE,0,0,719
PROCTER AND GAMBLE CO,COM,742718109,12299365,81056,SH,SOLE,0,0,81056
PROG HOLDINGS INC,COM NPV,74319R101,803,25,SH,SOLE,0,0,25
PROGRESSIVE CORP,COM,743315103,10273648,77613,SH,SOLE,0,0,77613
PROLOGIS INC.,COM,74340W103,150342,1226,SH,SOLE,0,0,1226
PROSHARES TR,LARGE CAP CRE,74347R248,20410,400,SH,SOLE,0,0,400
PROSHARES TR,PSHS ULT S&P 500,74347R107,100018,1720,SH,SOLE,0,0,1720
PROSHARES TR,PSHS ULTRUSS2000,74347R842,20984,610,SH,SOLE,0,0,610
PROSHARES TR,S&P 500 DV ARIST,74348A467,156128,1656,SH,SOLE,0,0,1656
PROSHARES TR,S&P MDCP 400 DIV,74347B680,35135,500,SH,SOLE,0,0,500
PROSPECT CAP CORP,NOTE 6.375% 3/0,74348TAT9,381755,385000,SH,SOLE,0,0,385000
PROSPECTOR CAPITAL CORP,UNIT 01/01/2030,G7273A121,1052,100,SH,SOLE,0,0,100
PRUDENTIAL FINL INC,COM,744320102,362777,4112,SH,SOLE,0,0,4112
PTC INC,COM,69370C100,75419,530,SH,SOLE,0,0,530
PUBLIC STORAGE,COM,74460D109,86105,295,SH,SOLE,0,0,295
PUBLIC SVC ENTERPRISE GRP IN,COM,744573106,30053,480,SH,SOLE,0,0,480
PUBMATIC INC,COM CL A,74467Q103,1554,85,SH,SOLE,0,0,85
PURE STORAGE INC,CL A,74624M102,43559,1183,SH,SOLE,0,0,1183
QIWI PLC,SPON ADR REP B,74735M108,0,6595,SH,SOLE,0,0,6595
QORVO INC,COM,74736K101,11224,110,SH,SOLE,0,0,110
QUALCOMM INC,COM,747525103,1334237,11208,SH,SOLE,0,0,11208
QUALYS INC,COM,74758T303,1034,8,SH,SOLE,0,0,8
QUANTA SVCS INC,COM,74762E102,2307344,11745,SH,SOLE,0,0,11745
QUEST DIAGNOSTICS INC,COM,74834L100,287446,2045,SH,SOLE,0,0,2045
RALPH LAUREN CORP,CL A,751212101,325143,2637,SH,SOLE,0,0,2637
RAMBUS INC DEL,COM,750917106,84384,1315,SH,SOLE,0,0,1315
RAYTHEON TECHNOLOGIES CORP,COM,75513E101,2581237,26350,SH,SOLE,0,0,26350
RB GLOBAL INC,COM,74935Q107,97850,1631,SH,SOLE,0,0,1631
RBB FD INC,US TREASY 2 YR,74933W486,28944,600,SH,SOLE,0,0,600
REALTY INCOME CORP,COM,756109104,29955,501,SH,SOLE,0,0,501
RED ROCK RESORTS INC,CL A,75700L108,93607,2001,SH,SOLE,0,0,2001
RED VIOLET INC,COM,75704L104,2057,100,SH,SOLE,0,0,100
REGENCY CTRS CORP,COM,758849103,32121,520,SH,SOLE,0,0,520
REGENERON PHARMACEUTICALS,COM,75886F107,344181,479,SH,SOLE,0,0,479
REGENXBIO INC,COM,75901B107,1999,100,SH,SOLE,0,0,100
REGIONS FINANCIAL CORP NEW,COM,7591EP100,254791,14298,SH,SOLE,0,0,14298
REGIS CORP MINN,COM,758932107,11100,10000,SH,SOLE,0,0,10000
RELX PLC,SPONSORED ADR,759530108,386886,11573,SH,SOLE,0,0,11573
RENTOKIL INITIAL PLC,SPONSORED ADR,760125104,87149,2234,SH,SOLE,0,0,2234
REPLIGEN CORP,COM,759916109,120666,853,SH,SOLE,0,0,853
REPUBLIC SVCS INC,COM,760759100,591849,3864,SH,SOLE,0,0,3864
RESIDEO TECHNOLOGIES INC,COM,76118Y104,2402,136,SH,SOLE,0,0,136
RESMED INC,COM,761152107,122298,560,SH,SOLE,0,0,560
RINGCENTRAL INC,CL A,76680R206,15547,475,SH,SOLE,0,0,475
RIO TINTO PLC,SPONSORED ADR,767204100,4927,77,SH,SOLE,0,0,77
RIOT PLATFORMS INC,COM,767292105,769,65,SH,SOLE,0,0,65
RIVIAN AUTOMOTIVE INC,COM CL A,76954A103,13079,785,SH,SOLE,0,0,785
RMR GROUP INC,CL A,74967R106,672,29,SH,SOLE,0,0,29
ROBINHOOD MKTS INC,COM CL A,770700102,35998,3607,SH,SOLE,0,0,3607
ROBLOX CORP,CL A,771049103,9552,237,SH,SOLE,0,0,237
ROCKET COS INC,COM CL A,77311W101,2240,250,SH,SOLE,0,0,250
ROCKET LAB USA INC,COM,773122106,1800,300,SH,SOLE,0,0,300
ROCKET PHARMACEUTICALS INC,COM,77313F106,58756,2957,SH,SOLE,0,0,2957
ROCKWELL AUTOMATION INC,COM,773903109,767105,2328,SH,SOLE,0,0,2328
ROKU INC,COM CL A,77543R102,9531,149,SH,SOLE,0,0,149
ROLLINS INC,COM,775711104,1243,29,SH,SOLE,0,0,29
ROPER TECHNOLOGIES INC,COM,776696106,580326,1207,SH,SOLE,0,0,1207
ROSS STORES INC,COM,778296103,5607,50,SH,SOLE,0,0,50
ROYAL BK CDA,COM,780087102,189588,1985,SH,SOLE,0,0,1985
ROYAL CARIBBEAN GROUP,COM,V7780T103,10686,103,SH,SOLE,0,0,103
RPM INTL INC,COM,749685103,657093,7323,SH,SOLE,0,0,7323
RYANAIR HOLDINGS PLC,SPONSORED ADS,783513203,2655,24,SH,SOLE,0,0,24
S&P GLOBAL INC,COM,78409V104,2729166,6808,SH,SOLE,0,0,6808
SABRE CORP,COM,78573M104,1181,370,SH,SOLE,0,0,370
SAIA INC,COM,78709Y105,165727,484,SH,SOLE,0,0,484
SALESFORCE INC,COM,79466L302,2965276,14036,SH,SOLE,0,0,14036
SANDSTORM GOLD LTD,COM NEW,80013R206,1026,200,SH,SOLE,0,0,200
SANOFI,SPONSORED ADR,80105N105,45276,840,SH,SOLE,0,0,840
SAREPTA THERAPEUTICS INC,COM,803607100,150709,1316,SH,SOLE,0,0,1316
SBA COMMUNICATIONS CORP NEW,CL A,78410G104,273709,1181,SH,SOLE,0,0,1181
SCHLUMBERGER LTD,COM STK,806857108,278280,5665,SH,SOLE,0,0,5665
SCHRODINGER INC,COM,80810D103,1498,30,SH,SOLE,0,0,30
SCHWAB CHARLES CORP,COM,808513105,2092970,36926,SH,SOLE,0,0,36926
SCHWAB STRATEGIC TR,EMRG MKTEQ ETF,808524706,372102,15108,SH,SOLE,0,0,15108
SCHWAB STRATEGIC TR,INTL EQTY ETF,808524805,38716,1086,SH,SOLE,0,0,1086
SCHWAB STRATEGIC TR,INTL SCEQT ETF,808524888,14555,431,SH,SOLE,0,0,431
SCHWAB STRATEGIC TR,INT-TRM U.S TRES,808524854,10598650,215070,SH,SOLE,0,0,215070
SCHWAB STRATEGIC TR,SCHWAB FDT US LG,808524771,18480,321,SH,SOLE,0,0,321
SCHWAB STRATEGIC TR,SCHWAB FDT US SC,808524763,2876,57,SH,SOLE,0,0,57
SCHWAB STRATEGIC TR,SCHWB FDT EMK LG,808524730,15286,571,SH,SOLE,0,0,571
SCHWAB STRATEGIC TR,SCHWB FDT INT LG,808524755,12368,383,SH,SOLE,0,0,383
SCHWAB STRATEGIC TR,SCHWB FDT INT SC,808524748,2988,90,SH,SOLE,0,0,90
SCHWAB STRATEGIC TR,US AGGREGATE B,808524839,82403,1785,SH,SOLE,0,0,1785
SCHWAB STRATEGIC TR,US BRD MKT ETF,808524102,138876,2686,SH,SOLE,0,0,2686
SCHWAB STRATEGIC TR,US DIVIDEND EQ,808524797,710532,9784,SH,SOLE,0,0,9784
SCHWAB STRATEGIC TR,US LCAP GR ETF,808524300,154991,2068,SH,SOLE,0,0,2068
SCHWAB STRATEGIC TR,US LCAP VA ETF,808524409,129506,1930,SH,SOLE,0,0,1930
SCHWAB STRATEGIC TR,US LRG CAP ETF,808524201,434420,8295,SH,SOLE,0,0,8295
SCHWAB STRATEGIC TR,US MID-CAP ETF,808524508,4855096,68353,SH,SOLE,0,0,68353
SCHWAB STRATEGIC TR,US REIT ETF,808524847,238958,12235,SH,SOLE,0,0,12235
SCHWAB STRATEGIC TR,US SML CAP ETF,808524607,277813,6343,SH,SOLE,0,0,6343
SCHWAB STRATEGIC TR,US TIPS ETF,808524870,12112,231,SH,SOLE,0,0,231
SCOTTS MIRACLE-GRO CO,CL A,810186106,683760,10907,SH,SOLE,0,0,10907
SEA LTD,SPONSORD ADS,81141R100,987,17,SH,SOLE,0,0,17
SEAGATE TECHNOLOGY HLDNGS PL,ORD SHS,G7997R103,30935,500,SH,SOLE,0,0,500
SEAGEN INC,COM,81181C104,110473,574,SH,SOLE,0,0,574
SEER INC,COM CL A,81578P106,427,100,SH,SOLE,0,0,100
SELECT SECTOR SPDR TR,COMMUNICATION,81369Y852,15424,237,SH,SOLE,0,0,237
SELECT SECTOR SPDR TR,ENERGY,81369Y506,610235,7518,SH,SOLE,0,0,7518
SELECT SECTOR SPDR TR,FINANCIAL,81369Y605,2808730,83320,SH,SOLE,0,0,83320
SELECT SECTOR SPDR TR,RL EST SEL SEC,81369Y860,97797,2595,SH,SOLE,0,0,2595
SELECT SECTOR SPDR TR,SBI CONS DISCR,81369Y407,95898,565,SH,SOLE,0,0,565
SELECT SECTOR SPDR TR,SBI CONS STPLS,81369Y308,31418,424,SH,SOLE,0,0,424
SELECT SECTOR SPDR TR,SBI HEALTHCARE,81369Y209,780554,5881,SH,SOLE,0,0,5881
SELECT SECTOR SPDR TR,SBI INT-INDS,81369Y704,132648,1236,SH,SOLE,0,0,1236
SELECT SECTOR SPDR TR,SBI INT-UTILS,81369Y886,381222,5826,SH,SOLE,0,0,5826
SELECT SECTOR SPDR TR,SBI MATERIALS,81369Y100,153973,1858,SH,SOLE,0,0,1858
SELECT SECTOR SPDR TR,TECHNOLOGY,81369Y803,1161907,6683,SH,SOLE,0,0,6683
SEMPRA,COM,816851109,73232,503,SH,SOLE,0,0,503
SEQUANS COMMUNICATIONS S A,SPONSORED ADS,817323207,223,100,SH,SOLE,0,0,100
SERITAGE GROWTH PPTYS,CL A,81752R100,268,30,SH,SOLE,0,0,30
SERVICE CORP INTL,COM,817565104,1615,25,SH,SOLE,0,0,25
SERVICENOW INC,COM,81762P102,354604,631,SH,SOLE,0,0,631
SHELL PLC,SPON ADS,780259305,902380,14945,SH,SOLE,0,0,14945
SHERWIN WILLIAMS CO,COM,824348106,3979468,14987,SH,SOLE,0,0,14987
SHIFT TECHNOLOGIES INC,CL A NEW,82452T305,7797,3593,SH,SOLE,0,0,3593
SHOPIFY INC,CL A,82509L107,317380,4913,SH,SOLE,0,0,4913
SHUTTERSTOCK INC,COM,825690100,1010,21,SH,SOLE,0,0,21
SIGA TECHNOLOGIES INC,COM,826917106,20200,4000,SH,SOLE,0,0,4000
SIMON PPTY GROUP INC NEW,COM,828806109,85340,739,SH,SOLE,0,0,739
SINGULAR GENOMICS SYSTEMS IN,COM,82933R100,1245,1500,SH,SOLE,0,0,1500
SINOVAC BIOTECH LTD,SHS,P8696W104,0,500,SH,SOLE,0,0,500
SKYWORKS SOLUTIONS INC,COM,83088M102,154302,1394,SH,SOLE,0,0,1394
SLEEP NUMBER CORP,COM,83125X103,2046,75,SH,SOLE,0,0,75
SMART SAND INC,COM,83191H107,76638,46730,SH,SOLE,0,0,46730
SMARTSHEET INC,COM CL A,83200N103,46410,1213,SH,SOLE,0,0,1213
SMITH & WESSON BRANDS INC,COM,831754106,379,29,SH,SOLE,0,0,29
SMUCKER J M CO,COM NEW,832696405,873321,5914,SH,SOLE,0,0,5914
SNAP INC,CL A,83304A106,13107,1107,SH,SOLE,0,0,1107
SNAP ON INC,COM,833034101,1730,6,SH,SOLE,0,0,6
SNOWFLAKE INC,CL A,833445109,275233,1564,SH,SOLE,0,0,1564
SOFI TECHNOLOGIES INC,COM,83406F102,35362,4240,SH,SOLE,0,0,4240
SOLAREDGE TECHNOLOGIES INC,COM,83417M104,1346,5,SH,SOLE,0,0,5
SONOCO PRODS CO,COM,835495102,22900,388,SH,SOLE,0,0,388
SONY GROUP CORPORATION,SPONSORED ADR,835699307,507466,5636,SH,SOLE,0,0,5636
SOUTHERN CO,COM,842587107,541909,7714,SH,SOLE,0,0,7714
SOUTHERN COPPER CORP,COM,84265V105,13459,188,SH,SOLE,0,0,188
SOUTHWEST AIRLS CO,COM,844741108,33104,914,SH,SOLE,0,0,914
SPDR DOW JONES INDL AVERAGE,UT SER 1,78467X109,786385,2287,SH,SOLE,0,0,2287
SPDR GOLD TR,GOLD SHS,78463V107,2137814,11992,SH,SOLE,0,0,11992
SPDR INDEX SHS FDS,ASIA PACIF ETF,78463X301,65454,660,SH,SOLE,0,0,660
SPDR INDEX SHS FDS,MSCI ACWI EXUS,78463X848,4552,174,SH,SOLE,0,0,174
SPDR INDEX SHS FDS,PORTFLI MSCI GBL,78463X475,10664,204,SH,SOLE,0,0,204
SPDR INDEX SHS FDS,PORTFOLIO DEVLPD,78463X889,489,15,SH,SOLE,0,0,15
SPDR INDEX SHS FDS,PORTFOLIO EMG MK,78463X509,139927,4070,SH,SOLE,0,0,4070
SPDR INDEX SHS FDS,S&P EMKTSC ETF,78463X756,63800,1215,SH,SOLE,0,0,1215
SPDR S&P 500 ETF TR,TR UNIT,78462F103,31486902,71032,SH,SOLE,0,0,71032
SPDR S&P MIDCAP 400 ETF TR,UTSER1 S&PDCRP,78467Y107,25839848,53956,SH,SOLE,0,0,53956
SPDR SER TR,AEROSPACE DEF,78464A631,94308,776,SH,SOLE,0,0,776
SPDR SER TR,BLOOMBERG 1-3 MO,78468R663,46278,504,SH,SOLE,0,0,504
SPDR SER TR,BLOOMBERG HIGH Y,78468R622,5338,58,SH,SOLE,0,0,58
SPDR SER TR,BLOOMBERG INTL T,78464A516,72273,3205,SH,SOLE,0,0,3205
SPDR SER TR,BLOOMBERG SHORT,78464A334,93761,3509,SH,SOLE,0,0,3509
SPDR SER TR,DJ REIT ETF,78464A607,4219527,46656,SH,SOLE,0,0,46656
SPDR SER TR,NUVEEN BLMBRG MU,78468R721,1755,38,SH,SOLE,0,0,38
SPDR SER TR,PORTFOLIO S&P400,78464A847,964,21,SH,SOLE,0,0,21
SPDR SER TR,PORTFOLIO S&P500,78464A854,207555,3983,SH,SOLE,0,0,3983
SPDR SER TR,PORTFOLIO S&P600,78468R853,28548,735,SH,SOLE,0,0,735
SPDR SER TR,PRTFLO S&P500 GW,78464A409,23428,384,SH,SOLE,0,0,384
SPDR SER TR,PRTFLO S&P500 VL,78464A508,88431,2047,SH,SOLE,0,0,2047
SPDR SER TR,S&P BIOTECH,78464A870,1914,23,SH,SOLE,0,0,23
SPDR SER TR,S&P DIVID ETF,78464A763,34908076,284778,SH,SOLE,0,0,284778
SPDR SER TR,S&P HOMEBUILD,78464A888,182201,2269,SH,SOLE,0,0,2269
SPDR SER TR,S&P OILGAS EXP,78468R556,31693,246,SH,SOLE,0,0,246
SPDR SER TR,S&P REGL BKG,78464A698,1317968,32279,SH,SOLE,0,0,32279
SPECTRUM BRANDS HLDGS INC NE,COM,84790A105,391,5,SH,SOLE,0,0,5
SPHERE ENTERTAINMENT CO,CL A,55826T102,55,2,SH,SOLE,0,0,2
SPLUNK INC,COM,848637104,362616,3418,SH,SOLE,0,0,3418
SPLUNK INC,NOTE 1.125% 6/1,848637AF1,284728,330000,SH,SOLE,0,0,330000
SPORTRADAR GROUP AG,CLASS A ORD SHS,H8088L103,20640,1600,SH,SOLE,0,0,1600
SPOTIFY TECHNOLOGY S A,SHS,L8681T102,313555,1953,SH,SOLE,0,0,1953
SPOTIFY USA INC,NOTE 3/1,84921RAB6,225118,265000,SH,SOLE,0,0,265000
SPROTT PHYSICAL GOLD & SILVE,TR UNIT,85208R101,1370,76,SH,SOLE,0,0,76
SPROTT PHYSICAL GOLD TR,UNIT,85207H104,1657448,111089,SH,SOLE,0,0,111089
SPROUT SOCIAL INC,COM CL A,85209W109,72010,1560,SH,SOLE,0,0,1560
SPROUTS FMRS MKT INC,COM,85208M102,1837,50,SH,SOLE,0,0,50
SS&C TECHNOLOGIES HLDGS INC,COM,78467J100,666968,11006,SH,SOLE,0,0,11006
STAR BULK CARRIERS CORP.,SHS PAR,Y8162K204,2126,120,SH,SOLE,0,0,120
STARBUCKS CORP,COM,855244109,2147920,21683,SH,SOLE,0,0,21683
STATE STR CORP,COM,857477103,1414606,19330,SH,SOLE,0,0,19330
STEM INC,COM,85859N102,11440,2000,SH,SOLE,0,0,2000
STERIS PLC,SHS USD,G8473T100,2677262,11900,SH,SOLE,0,0,11900
STMICROELECTRONICS N V,NY REGISTRY,861012102,13748,275,SH,SOLE,0,0,275
STONECO LTD,COM CL A,G85158106,1529,120,SH,SOLE,0,0,120
STRIDE INC,COM,86333M108,2234,60,SH,SOLE,0,0,60
STRONGHOLD DIGITAL MINING IN,CLASS A COM,86337R202,9,2,SH,SOLE,0,0,2
STRYKER CORPORATION,COM,863667101,3251663,10658,SH,SOLE,0,0,10658
STURM RUGER & CO INC,COM,864159108,3199,60,SH,SOLE,0,0,60
SUN CMNTYS INC,COM,866674104,94323,723,SH,SOLE,0,0,723
SUN LIFE FINANCIAL INC.,COM,866796105,105,2,SH,SOLE,0,0,2
SUNCOR ENERGY INC NEW,COM,867224107,16625,567,SH,SOLE,0,0,567
SUNRUN INC,COM,86771W105,11788,660,SH,SOLE,0,0,660
SUPER MICRO COMPUTER INC,COM,86800U104,6232,25,SH,SOLE,0,0,25
SYLVAMO CORP,COMMON STOCK,871332102,4571,113,SH,SOLE,0,0,113
SYNAPTICS INC,COM,87157D109,598,7,SH,SOLE,0,0,7
SYNOPSYS INC,COM,871607107,63570,146,SH,SOLE,0,0,146
SYNOVUS FINL CORP,COM NEW,87161C501,2209,73,SH,SOLE,0,0,73
SYSCO CORP,COM,871829107,1402812,18906,SH,SOLE,0,0,18906
TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,874039100,123123,1220,SH,SOLE,0,0,1220
TAKEDA PHARMACEUTICAL CO LTD,SPONSORED ADS,874060205,393,25,SH,SOLE,0,0,25
TAKE-TWO INTERACTIVE SOFTWAR,COM,874054109,5887,40,SH,SOLE,0,0,40
TAPESTRY INC,COM,876030107,83375,1948,SH,SOLE,0,0,1948
TARGET CORP,COM,87612E106,5433583,41195,SH,SOLE,0,0,41195
TATTOOED CHEF INC,COM CL A,87663X102,110,200,SH,SOLE,0,0,200
TC ENERGY CORP,COM,87807B107,7678,190,SH,SOLE,0,0,190
TD SYNNEX CORPORATION,COM,87162W100,2068,22,SH,SOLE,0,0,22
TE CONNECTIVITY LTD,SHS,H84989104,670105,4781,SH,SOLE,0,0,4781
TECK RESOURCES LTD,CL B,878742204,3819,91,SH,SOLE,0,0,91
TELADOC HEALTH INC,COM,87918A105,8862,350,SH,SOLE,0,0,350
TELEPHONE & DATA SYS INC,COM NEW,879433829,41973,5100,SH,SOLE,0,0,5100
TEMPUR SEALY INTL INC,COM,88023U101,6589,164,SH,SOLE,0,0,164
TENABLE HLDGS INC,COM,88025T102,79000,1814,SH,SOLE,0,0,1814
TERADYNE INC,COM,880770102,165563,1487,SH,SOLE,0,0,1487
TESLA INC,COM,88160R101,8729733,33349,SH,SOLE,0,0,33349
TEXAS INSTRS INC,COM,882508104,3790752,21057,SH,SOLE,0,0,21057
TEXAS PACIFIC LAND CORPORATI,COM,88262P102,1317,1,SH,SOLE,0,0,1
TEXAS ROADHOUSE INC,COM,882681109,319437,2845,SH,SOLE,0,0,2845
TFI INTL INC,COM,87241L109,19146,168,SH,SOLE,0,0,168
TFS FINL CORP,COM,87240R107,3256611,259078,SH,SOLE,0,0,259078
THE CIGNA GROUP,COM,125523100,404242,1441,SH,SOLE,0,0,1441
THE REALREAL INC,COM,88339P101,4551,2050,SH,SOLE,0,0,2050
THE TRADE DESK INC,COM CL A,88339J105,114054,1477,SH,SOLE,0,0,1477
THERMO FISHER SCIENTIFIC INC,COM,883556102,2558048,4903,SH,SOLE,0,0,4903
THOR INDS INC,COM,885160101,90563,875,SH,SOLE,0,0,875
THREDUP INC,CL A,88556E102,4600,1885,SH,SOLE,0,0,1885
TILRAY BRANDS INC,COM,88688T100,1498,960,SH,SOLE,0,0,960
TJX COS INC NEW,COM,872540109,2018794,23809,SH,SOLE,0,0,23809
T-MOBILE US INC,COM,872590104,40281,290,SH,SOLE,0,0,290
TOAST INC,CL A,888787108,499384,22126,SH,SOLE,0,0,22126
TORO CO,COM,891092108,23914,235,SH,SOLE,0,0,235
TORONTO DOMINION BK ONT,COM NEW,891160509,220694,3559,SH,SOLE,0,0,3559
TOTALENERGIES SE,SPONSORED ADS,89151E109,35046,608,SH,SOLE,0,0,608
TOYOTA MOTOR CORP,ADS,892331307,36973,230,SH,SOLE,0,0,230
TRACTOR SUPPLY CO,COM,892356106,694548,3141,SH,SOLE,0,0,3141
TRANE TECHNOLOGIES PLC,SHS,G8994E103,162571,850,SH,SOLE,0,0,850
TRANSDIGM GROUP INC,COM,893641100,667051,746,SH,SOLE,0,0,746
TRANSMEDICS GROUP INC,COM,89377M109,12597,150,SH,SOLE,0,0,150
TRANSUNION,COM,89400J107,94388,1205,SH,SOLE,0,0,1205
TRAVELERS COMPANIES INC,COM,89417E109,330201,1901,SH,SOLE,0,0,1901
TREX CO INC,COM,89531P105,1312,20,SH,SOLE,0,0,20
TRI CONTL CORP,COM,895436103,68550,2500,SH,SOLE,0,0,2500
TRIMBLE INC,COM,896239100,530,10,SH,SOLE,0,0,10
TRINITY INDS INC,COM,896522109,3189,124,SH,SOLE,0,0,124
TRUIST FINL CORP,COM,89832Q109,653514,21533,SH,SOLE,0,0,21533
TRUPANION INC,COM,898202106,197,10,SH,SOLE,0,0,10
TYSON FOODS INC,CL A,902494103,10566,207,SH,SOLE,0,0,207
U HAUL HOLDING COMPANY,COM,023586100,27660,500,SH,SOLE,0,0,500
U S SILICA HLDGS INC,COM,90346E103,221155,18232,SH,SOLE,0,0,18232
UBER TECHNOLOGIES INC,COM,90353T100,388250,8994,SH,SOLE,0,0,8994
UBS GROUP AG,SHS,H42097107,317672,15672,SH,SOLE,0,0,15672
UDEMY INC,COM,902685106,24315,2266,SH,SOLE,0,0,2266
UIPATH INC,CL A,90364P105,61541,3714,SH,SOLE,0,0,3714
ULTA BEAUTY INC,COM,90384S303,41883,89,SH,SOLE,0,0,89
UNDER ARMOUR INC,CL A,904311107,44,6,SH,SOLE,0,0,6
UNDER ARMOUR INC,CL C,904311206,41,6,SH,SOLE,0,0,6
UNILEVER PLC,SPON ADR NEW,904767704,34146,655,SH,SOLE,0,0,655
UNION PAC CORP,COM,907818108,2526142,12346,SH,SOLE,0,0,12346
UNITED AIRLS HLDGS INC,COM,910047109,109192,1990,SH,SOLE,0,0,1990
UNITED PARCEL SERVICE INC,CL B,911312106,2828275,15778,SH,SOLE,0,0,15778
UNITED RENTALS INC,COM,911363109,759356,1705,SH,SOLE,0,0,1705
UNITED STATES STL CORP NEW,COM,912909108,68153,2725,SH,SOLE,0,0,2725
UNITED STS LIME & MINERALS I,COM,911922102,3177,15,SH,SOLE,0,0,15
UNITED STS OIL FD LP,UNITS,91232N207,691615,10883,SH,SOLE,0,0,10883
UNITEDHEALTH GROUP INC,COM,91324P102,5569376,11587,SH,SOLE,0,0,11587
UNITI GROUP INC,COM,91325V108,11335,2453,SH,SOLE,0,0,2453
UNITY BIOTECHNOLOGY INC,COM NEW,91381U200,115,45,SH,SOLE,0,0,45
UNIVERSAL ELECTRS INC,COM,913483103,425051,44184,SH,SOLE,0,0,44184
UNIVERSAL HLTH SVCS INC,CL B,913903100,12464,79,SH,SOLE,0,0,79
UNUM GROUP,COM,91529Y106,25520,535,SH,SOLE,0,0,535
UPBOUND GROUP INC,COM,76009N100,40469,1300,SH,SOLE,0,0,1300
UPSTART HLDGS INC,COM,91680M107,1254,35,SH,SOLE,0,0,35
UPWORK INC,COM,91688F104,766,82,SH,SOLE,0,0,82
URANIUM ENERGY CORP,COM,916896103,368,108,SH,SOLE,0,0,108
US BANCORP DEL,COM NEW,902973304,751536,22746,SH,SOLE,0,0,22746
UWM HOLDINGS CORPORATION,COM CL A,91823B109,722,129,SH,SOLE,0,0,129
V F CORP,COM,918204108,19259,1009,SH,SOLE,0,0,1009
VAIL RESORTS INC,COM,91879Q109,104098,413,SH,SOLE,0,0,413
VALE S A,SPONSORED ADS,91912E105,6576,490,SH,SOLE,0,0,490
VALERO ENERGY CORP,COM,91913Y100,137711,1174,SH,SOLE,0,0,1174
VANECK ETF TRUST,GOLD MINERS ETF,92189F106,20656,686,SH,SOLE,0,0,686
VANECK ETF TRUST,JP MRGAN EM LOC,92189H300,74355,2909,SH,SOLE,0,0,2909
VANECK ETF TRUST,LONG MUNI ETF,92189F536,305150,17000,SH,SOLE,0,0,17000
VANECK ETF TRUST,SEMICONDUCTR ETF,92189F676,6090,40,SH,SOLE,0,0,40
VANGUARD ADMIRAL FDS INC,500 GRTH IDX F,921932505,11465,45,SH,SOLE,0,0,45
VANGUARD ADMIRAL FDS INC,SMLLCP 600 IDX,921932828,28946,315,SH,SOLE,0,0,315
VANGUARD BD INDEX FDS,INTERMED TERM,921937819,16325,217,SH,SOLE,0,0,217
VANGUARD CHARLOTTE FDS,TOTAL INT BD ETF,92203J407,58381,1194,SH,SOLE,0,0,1194
VANGUARD INDEX FDS,EXTEND MKT ETF,922908652,3723257,25017,SH,SOLE,0,0,25017
VANGUARD INDEX FDS,GROWTH ETF,922908736,1145245,4047,SH,SOLE,0,0,4047
VANGUARD INDEX FDS,LARGE CAP ETF,922908637,119403,589,SH,SOLE,0,0,589
VANGUARD INDEX FDS,MCAP GR IDXVIP,922908538,2164907,10521,SH,SOLE,0,0,10521
VANGUARD INDEX FDS,MCAP VL IDXVIP,922908512,376966,2724,SH,SOLE,0,0,2724
